Quarter,Sales,Quarter2,log(Sales),d1,d2,d3,d4
1,50147,1,10.82271397,1,0,0,0
2,49325,4,10.80618633,0,1,0,0
3,57048,9,10.9516483,0,0,1,0
4,76781,16,11.24871249,0,0,0,1
5,48617,25,10.79172854,1,0,0,0
6,50898,36,10.83757891,0,1,0,0
7,58517,49,10.97707259,0,0,1,0
8,77691,64,11.2604947,0,0,0,1
9,50862,81,10.83687136,1,0,0,0
10,53028,100,10.87857535,0,1,0,0
11,58849,121,10.98273012,0,0,1,0
12,79660,144,11.28552286,0,0,0,1
13,51640,169,10.85205184,1,0,0,0
14,54119,196,10.8989406,0,1,0,0
15,65681,225,11.09256497,0,0,1,0
16,85175,256,11.35246324,0,0,0,1
17,56405,289,10.94031309,1,0,0,0
18,60031,324,11.00261637,0,1,0,0
19,71486,361,11.17725691,0,0,1,0
20,92183,400,11.43153101,0,0,0,1
21,60800,441,11.01534507,1,0,0,0
22,64900,484,11.0806029,0,1,0,0
23,76997,529,11.25152174,0,0,1,0
24,103337,576,11.54575077,0,0,0,1
